epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
123,602.496,1.15782,0.82649,1.17761,0.69877,0.51352,0.56436,0.29592,1.68766,1.0772,1.58407,0.000660299,0.000660299,0.000660299
124,606.684,1.15455,0.84176,1.18058,0.74027,0.52662,0.56462,0.29859,1.62967,1.12434,1.55237,0.000652047,0.000652047,0.000652047
125,610.883,1.12024,0.80966,1.14131,0.75461,0.53179,0.57412,0.29803,1.64026,1.22118,1.57629,0.000643795,0.000643795,0.000643795
126,615.025,1.11415,0.78525,1.18028,0.86793,0.51042,0.58963,0.30478,1.62389,1.08794,1.55834,0.000635544,0.000635544,0.000635544
127,619.242,1.14705,0.82808,1.17069,0.76415,0.55324,0.60586,0.32122,1.55289,0.94704,1.47244,0.000627292,0.000627292,0.000627292
128,623.442,1.17759,0.85606,1.18715,0.81856,0.54514,0.61182,0.3201,1.52545,0.9406,1.47829,0.00061904,0.00061904,0.00061904
129,627.915,1.10926,0.79547,1.14401,0.80028,0.5625,0.61801,0.31667,1.68598,0.93616,1.56605,0.000610789,0.000610789,0.000610789
130,632.487,1.14303,0.85396,1.17983,0.74372,0.55037,0.57493,0.29703,1.69645,1.01108,1.63077,0.000602537,0.000602537,0.000602537
131,637.037,1.14944,0.8434,1.17602,0.74455,0.55903,0.59795,0.31012,1.66629,1.03412,1.60465,0.000594286,0.000594286,0.000594286
132,641.514,1.11708,0.81771,1.16704,0.80522,0.5451,0.60522,0.31744,1.68746,0.97701,1.58969,0.000586034,0.000586034,0.000586034
133,645.669,1.14992,0.79647,1.16004,0.73865,0.52841,0.58315,0.30346,1.60872,1.03192,1.53091,0.000577782,0.000577782,0.000577782
134,650.33,1.12128,0.80279,1.17222,0.67415,0.58333,0.58893,0.30929,1.72772,1.05957,1.6194,0.000569531,0.000569531,0.000569531
135,655.4,1.18703,0.83758,1.17443,0.73036,0.52394,0.58595,0.31251,1.72579,1.00289,1.62758,0.000561279,0.000561279,0.000561279
136,659.943,1.09135,0.78192,1.15175,0.74715,0.53052,0.593,0.3251,1.66279,0.95461,1.54449,0.000553027,0.000553027,0.000553027
137,664.094,1.12792,0.7887,1.14606,0.79069,0.50641,0.59835,0.31441,1.63277,0.93457,1.52088,0.000544776,0.000544776,0.000544776
138,668.573,1.16276,0.83334,1.16993,0.81834,0.51389,0.61026,0.30537,1.60376,0.93,1.51639,0.000536524,0.000536524,0.000536524
139,672.772,1.09446,0.77672,1.1423,0.78628,0.48431,0.57711,0.29855,1.60012,0.98178,1.49774,0.000528272,0.000528272,0.000528272
140,677.224,1.12847,0.80633,1.15278,0.74549,0.53083,0.57305,0.3082,1.58999,0.99694,1.55014,0.000520021,0.000520021,0.000520021
141,681.374,1.13023,0.79428,1.14952,0.75601,0.52778,0.58605,0.32809,1.55704,0.95785,1.52775,0.000511769,0.000511769,0.000511769
142,685.653,1.10793,0.76802,1.14845,0.71394,0.54167,0.58801,0.31529,1.55721,1.06027,1.53865,0.000503517,0.000503517,0.000503517
143,690.159,1.09449,0.76216,1.12411,0.73727,0.50347,0.57702,0.30463,1.56381,1.08038,1.47375,0.000495266,0.000495266,0.000495266
144,694.332,1.03894,0.76455,1.1239,0.67001,0.54586,0.57208,0.2999,1.5753,1.13068,1.50601,0.000487014,0.000487014,0.000487014
145,698.511,1.09429,0.76055,1.12862,0.70342,0.53821,0.56756,0.30253,1.56452,1.0372,1.54727,0.000478762,0.000478762,0.000478762
146,702.716,1.0861,0.75772,1.13357,0.70871,0.55093,0.58457,0.30999,1.5778,0.97854,1.58783,0.000470511,0.000470511,0.000470511
147,706.836,1.09094,0.76146,1.12961,0.78067,0.56374,0.6014,0.31993,1.6153,0.92664,1.57153,0.000462259,0.000462259,0.000462259
148,711.068,1.10094,0.76463,1.1321,0.82073,0.49769,0.59044,0.32046,1.52045,0.9537,1.48773,0.000454007,0.000454007,0.000454007
149,715.324,1.10198,0.78231,1.13956,0.74733,0.54074,0.57967,0.31855,1.57672,1.0866,1.52134,0.000445756,0.000445756,0.000445756
150,719.573,1.10129,0.78364,1.13979,0.703,0.52547,0.5787,0.3252,1.59665,1.04682,1.52415,0.000437504,0.000437504,0.000437504
151,724.017,1.10594,0.80653,1.15203,0.70753,0.54814,0.58413,0.31231,1.54299,0.92887,1.48275,0.000429253,0.000429253,0.000429253
152,728.367,1.08755,0.81334,1.14158,0.6781,0.549,0.56796,0.3064,1.53346,0.98629,1.48517,0.000421001,0.000421001,0.000421001
153,733.304,1.06921,0.77217,1.12806,0.6941,0.58681,0.601,0.31011,1.60118,1.0157,1.53463,0.000412749,0.000412749,0.000412749
154,737.75,1.13448,0.76957,1.14377,0.67125,0.56372,0.57207,0.31081,1.56782,0.98882,1.52194,0.000404498,0.000404498,0.000404498
155,741.995,1.12814,0.77654,1.1361,0.6599,0.54661,0.56598,0.29208,1.62501,1.01301,1.55555,0.000396246,0.000396246,0.000396246
156,746.465,1.08607,0.76428,1.13847,0.69922,0.56435,0.58794,0.31221,1.65856,0.97482,1.55268,0.000387994,0.000387994,0.000387994
157,750.834,1.03842,0.74153,1.1397,0.6806,0.57839,0.57358,0.31066,1.67342,0.95435,1.58855,0.000379743,0.000379743,0.000379743
158,754.892,1.08318,0.76131,1.12713,0.74221,0.5463,0.59186,0.31978,1.66995,0.93121,1.61293,0.000371491,0.000371491,0.000371491
159,758.843,1.05548,0.76135,1.1342,0.76534,0.55243,0.60231,0.31754,1.61421,0.92961,1.56082,0.000363239,0.000363239,0.000363239
160,762.932,1.10116,0.76516,1.13836,0.73628,0.56057,0.57843,0.30732,1.61828,0.97339,1.54426,0.000354988,0.000354988,0.000354988
161,767.242,1.05407,0.73957,1.1253,0.72019,0.56713,0.58559,0.31322,1.61058,0.98028,1.54106,0.000346736,0.000346736,0.000346736
162,771.185,1.07936,0.76053,1.12133,0.79841,0.50827,0.57901,0.31725,1.62191,0.93571,1.56262,0.000338484,0.000338484,0.000338484
163,775.414,1.04798,0.75434,1.13589,0.7452,0.54675,0.59545,0.30942,1.59862,0.988,1.55602,0.000330233,0.000330233,0.000330233
164,779.751,1.05646,0.74159,1.13554,0.72811,0.55093,0.58657,0.30582,1.57428,1.01686,1.56856,0.000321981,0.000321981,0.000321981
165,783.913,1.07197,0.76651,1.13147,0.77616,0.49604,0.58826,0.30148,1.58205,1.03938,1.55273,0.000313729,0.000313729,0.000313729
166,788.031,1.06369,0.76914,1.13744,0.7903,0.52816,0.58872,0.29966,1.66736,1.0468,1.58666,0.000305478,0.000305478,0.000305478
167,792.483,1.05357,0.73516,1.11086,0.76269,0.53376,0.60664,0.31383,1.65582,0.96671,1.59775,0.000297226,0.000297226,0.000297226
168,796.861,1.06677,0.75044,1.12596,0.79042,0.53472,0.59761,0.29479,1.71262,0.99944,1.637,0.000288974,0.000288974,0.000288974
169,800.767,1.04527,0.73723,1.10906,0.71797,0.57237,0.592,0.31212,1.67843,0.97358,1.62523,0.000280723,0.000280723,0.000280723
170,804.713,1.02162,0.71246,1.109,0.69237,0.57743,0.59478,0.30343,1.65192,0.96016,1.59048,0.000272471,0.000272471,0.000272471
171,809.052,1.05724,0.73672,1.0993,0.69687,0.57292,0.59261,0.30912,1.61974,0.91987,1.57927,0.00026422,0.00026422,0.00026422
172,813.099,1.01712,0.70033,1.07225,0.79084,0.48958,0.59341,0.30838,1.64869,0.92317,1.57435,0.000255968,0.000255968,0.000255968
173,817.113,1.00259,0.71,1.07866,0.81272,0.51845,0.59534,0.31595,1.65381,0.89609,1.58592,0.000247716,0.000247716,0.000247716
174,822.004,1.01728,0.71036,1.10977,0.67786,0.58953,0.5907,0.31462,1.69049,0.90438,1.62282,0.000239465,0.000239465,0.000239465
175,826.486,1.04522,0.72348,1.1044,0.67264,0.6099,0.61476,0.31834,1.65121,0.88695,1.60327,0.000231213,0.000231213,0.000231213
176,830.588,1.05636,0.73252,1.12076,0.75675,0.5544,0.62094,0.32031,1.65095,0.88772,1.59946,0.000222961,0.000222961,0.000222961
177,835.026,1.07038,0.74914,1.10946,0.75161,0.54398,0.62176,0.31815,1.6664,0.87728,1.60575,0.00021471,0.00021471,0.00021471
178,839.162,1.039,0.71394,1.08761,0.73173,0.54398,0.60024,0.31067,1.67949,0.9179,1.60987,0.000206458,0.000206458,0.000206458
179,843.463,1.00054,0.70022,1.09243,0.70777,0.56928,0.59608,0.31398,1.66298,0.90459,1.59052,0.000198206,0.000198206,0.000198206
180,847.669,1.0172,0.73618,1.09634,0.7244,0.53721,0.5923,0.31143,1.67428,0.90692,1.60117,0.000189955,0.000189955,0.000189955
181,851.842,0.99092,0.70167,1.08068,0.74573,0.51854,0.59032,0.30762,1.69099,0.91611,1.60304,0.000181703,0.000181703,0.000181703
